Pathway	Organisms
Glycolysis / Gluconeogenesis	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Citrate cycle (TCA cycle)	 Streptococcus gordonii Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Pentose phosphate pathway	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Pentose and glucuronate interconversions	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Fructose and mannose metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Galactose metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Fatty acid biosynthesis	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Ubiquinone and other terpenoid-quinone biosynthesis	 Streptococcus gordonii Streptococcus mutans UA159 Streptococcus sanguinis Streptococcus suis 05ZYH33
Oxidative phosphorylation	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Arginine biosynthesis	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Purine metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Pyrimidine metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Alanine aspartate and glutamate metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Glycine serine and threonine metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Monobactam biosynthesis	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Cysteine and methionine metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Valine leucine and isoleucine degradation	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Valine leucine and isoleucine biosynthesis	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Lysine biosynthesis	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Arginine and proline metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Carbapenem biosynthesis	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Histidine metabolism	 Streptococcus gordonii Streptococcus mutans UA159 Streptococcus sanguinis Streptococcus thermophilus LMD-9
Tyrosine metabolism	 Streptococcus gordonii Streptococcus mutans UA159 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Phenylalanine metabolism	 Streptococcus gordonii Streptococcus mutans UA159 Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Phenylalanine tyrosine and tryptophan biosynthesis	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Novobiocin biosynthesis	 Streptococcus gordonii Streptococcus mutans UA159 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Taurine and hypotaurine metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Phosphonate and phosphinate metabolism	 Streptococcus gordonii Streptococcus mutans UA159 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Selenocompound metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Cyanoamino acid metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
D-Glutamine and D-glutamate metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
D-Arginine and D-ornithine metabolism	 Streptococcus gordonii Streptococcus mutans UA159 Streptococcus sanguinis
D-Alanine metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Glutathione metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Starch and sucrose metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Other glycan degradation	 Streptococcus gordonii Streptococcus mitis Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Amino sugar and nucleotide sugar metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Streptomycin biosynthesis	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Polyketide sugar unit biosynthesis	 Streptococcus gordonii Streptococcus mutans UA159 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Acarbose and validamycin biosynthesis	 Streptococcus gordonii Streptococcus mutans UA159 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Peptidoglycan biosynthesis	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Glycerolipid metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Inositol phosphate metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Glycerophospholipid metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Arachidonic acid metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33
Pyruvate metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Chloroalkane and chloroalkene degradation	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Naphthalene degradation	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Aminobenzoate degradation	 Streptococcus gordonii Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Glyoxylate and dicarboxylate metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Propanoate metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Butanoate metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
C5-Branched dibasic acid metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
One carbon pool by folate	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Methane metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Thiamine metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Riboflavin metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
